26	75	Daily Mirror	01/07/2018	en	https://www.mirror.co.uk/sport/football/transfer-news/southampton-set-beat-west-ham-12834259
40	76	A Bola	01/07/2018	pt	https://www.abola.pt/nnh/Noticias/Ver/738124
41	77	A Bola	01/07/2018	pt	https://www.abola.pt/Nnh/Noticias/Ver/738215
41	78	ZeroZero	02/07/2018	pt	http://www.zerozero.pt/news.php?id=224931
34	79	O Jogo	02/07/2018	pt	https://www.ojogo.pt/futebol/1a-liga/porto/noticias/interior/sad-do-fc-porto-recusa-20-milhoes-por-herrera-9536779.html
40	80	Mundo Deportivo	02/07/2018	es	https://www.mundodeportivo.com/futbol/fc-barcelona/20180702/45561214631/fc-barcelona-barca-paulinho.html
26	81	Fichajes.com	02/07/2018	es	http://www.fichajes.com/breves/fc-barcelona-el-southampton-calienta-la-venta-de-marlon_137211
8	82	Marca	02/07/2018	es	http://www.marca.com/futbol/sevilla/2018/07/02/5b39d6cbe2704eca068b45eb.html
21	83	Goal	03/07/2018	en	http://www.goal.com/en-us/news/transfer-news-rumours-live-80m-willian-wants-to-join/wdqlh2lfgwmw160agavrw88ep
21	84	Mundo Deportivo	02/07/2018	es	https://www.mundodeportivo.com/futbol/fc-barcelona/20180702/45551873695/willian-entregado-al-barca.html
40	85	Mundo Deportivo	02/07/2018	es	https://www.mundodeportivo.com/futbol/fc-barcelona/20180702/45526563515/el-barca-ha-recibido-un-oferton-por-paulinho.html
32	86	Goal	03/07/2018	en	http://www.goal.com/en-us/news/courtois-madrid-my-children-live-there-and-i-want-to-see/lkmjd7szl7e51r7fx3x5hz9ox
42	87	The Sun	02/07/2018	en	https://www.thesun.co.uk/sport/football/6676538/leicester-star-riyad-mahrez-excused-from-pre-season-training-as-algerian-closes-in-on-man-city-switch/
17	88	The Guardian	03/07/2018	en	https://www.theguardian.com/football/2018/jul/03/football-transfer-rumours-cristiano-ronaldo-real-madrid-juventus-neymar
43	89	Daily Mail	02/07/2018	en	http://www.dailymail.co.uk/sport/football/article-5911373/Sevilla-midfielder-Steven-NZonzi-hands-transfer-request-hope-pushing-Arsenal-move.html
2	90	Daily Mirror	02/07/2018	en	https://www.mirror.co.uk/sport/football/transfer-news/lee-grant-set-complete-manchester-12837664
2	91	BBC	02/07/2018	en	https://www.bbc.com/sport/football/44682326
18	92	Caughtoffside	03/07/2018	en	https://www.caughtoffside.com/2018/07/03/man-utd-transfer-news-romelu-lukaku-real-madrid-price-set/
44	93	Futebol 365	03/07/2018	pt	http://www.futebol365.pt/artigo/192005-mercado-mbemba-ja-chegou-ao-porto-para-assinar-contrato/
2	94	O Jogo	02/07/2018	pt	https://www.ojogo.pt/internacional/noticias/interior/de-gea-esta-perto-de-ter-mais-um-concorrente-no-united-avancam-em-inglaterra-9537684.html
44	95	ZeroZero	03/07/2018	pt	http://www.zerozero.pt/news.php?id=225032
8	96	A Bola	03/07/2018	pt	https://www.abola.pt/Internacional/Noticias/Ver/738432
25	97	Mundo Deportivo	03/07/2018	es	https://www.mundodeportivo.com/futbol/20180703/45589347028/el-betis-acelera-la-llegada-de-joel-para-dejar-salir-a-adan.html
32	98	Mundo Deportivo	03/07/2018	es	https://www.mundodeportivo.com/futbol/real-madrid/20180703/45586292822/courtois-volver-a-madrid-para-mi-son-muy-importantes-mis-hijos-y-viven-ahi.html
21	99	Fichajes.com	03/07/2018	es	http://www.fichajes.com/liga/el-fc-barcelona-define-su-estrategia-para-fichar-a-willian_137268
45	100	O Jogo	03/07/2018	pt	https://www.ojogo.pt/futebol/1a-liga/sporting/noticias/interior/gelson-martins-e-noticia-de-mercado-em-espanha-9542097.html
46	101	O Jogo	04/07/2018	pt	https://www.ojogo.pt/futebol/1a-liga/sporting/noticias/interior/sky-sports-fala-em-proposta-por-bruno-fernandes-e-revela-valores-do-negocio-9547937.html
2	102	O Jogo	03/07/2018	pt	https://www.ojogo.pt/internacional/noticias/interior/mourinho-vai-buscar-guarda-redes-de-35-anos-9546072.html
47	103	O Jogo	03/07/2018	pt	https://www.ojogo.pt/internacional/portugueses/noticias/interior/solucao-a-vista-para-andre-gomes-e-o-barcelona-ja-esfrega-as-maos-9544894.html
48	104	O Jogo	03/07/2018	pt	https://www.ojogo.pt/futebol/1a-liga/benfica/noticias/interior/italianos-voltam-a-apontar-guillermo-varela-ao-benfica-9544017.html
48	105	A Bola	04/07/2018	pt	https://www.abola.pt/nnh/Noticias/Ver/738634
49	106	O Jogo	04/07/2018	pt	https://www.ojogo.pt/futebol/1a-liga/sporting/noticias/interior/presidente-do-betis-solta-um-oxala-com-william-ao-barulho-9550096.html
17	107	O Jogo	04/07/2018	pt	https://www.ojogo.pt/internacional/cristiano-ronaldo/noticias/interior/a-historia-e-os-motivos-da-rutura-entre-ronaldo-e-real-madrid-9547802.html
49	108	ZeroZero	04/07/2018	pt	http://www.zerozero.pt/news.php?id=225158
25	109	ZeroZero	04/07/2018	pt	http://www.zerozero.pt/news.php?id=225157
47	110	ZeroZero	04/07/2018	pt	https://www.zerozero.pt/news.php?id=225139
46	111	ZeroZero	04/07/2018	pt	http://www.zerozero.pt/news.php?id=225131
25	112	Mundo Deportivo	04/07/2018	es	https://www.mundodeportivo.com/futbol/atletico-madrid/20180704/45646323498/betis-atletico-de-madrid-antonio-adan-traspaso.html
21	113	Mundo Deportivo	04/07/2018	es	https://www.mundodeportivo.com/futbol/fc-barcelona/20180704/45627885326/willian-barca-chelsea.html
40	114	Mundo Deportivo	03/07/2018	es	https://www.mundodeportivo.com/futbol/fc-barcelona/20180703/45621040469/barca-paulinho-juventus.html
13	115	Mundo Deportivo	04/07/2018	es	https://www.mundodeportivo.com/futbol/fc-barcelona/20180704/45628020371/barca-brasil-arthur.html
17	116	Mundo Deportivo	04/07/2018	es	https://www.mundodeportivo.com/futbol/real-madrid/20180704/45645674819/real-madrid-cifras-cristiano-ronaldo.html
